5 41 0.15707963267948965579 0.050000000000000002775
0 0 0, NULL, 1 0 0, 0 1 0 [0] 0 40 0 [0], 0 0 2, -2.2500000028128912533 5.4999999946190927246 1.5005972610345583717 -2.7500001299321028548 3.4999929920236514391 1.5010003671141853853
0 0 2, NULL, 1 0 2, 0 1 2 [2] 0 1 3 [3] 0 40 2 [2], 0 0 0, -2.7500001299321028548 3.4999929920236514391 1.5010003671141853853 -2.2500000028128912533 5.4999999946190927246 1.5005972610345583717
0 1 0, NULL, 1 1 0, 0 0 0 [0] 0 2 0 [0], 0 1 2 0 1 3, -2.3038208496517005309 5.4185160239619065691 1.500741212122235213 -2.6961789162267226772 3.5814840108933823081 1.5010003267015941119 4.2034520139681026407 4.2154547821846888311 5.5010009443188057076 2.8944341892054432641 3.2154483384629966025 3.4989936153007050734
0 1 2, NULL, 1 1 2, 0 0 2 [2] 0 2 2 [2], 0 1 0 0 1 3, -2.6961789162267226772 3.5814840108933823081 1.5010003267015941119 -2.3038208496517005309 5.4185160239619065691 1.500741212122235213 -0.41609103809723857471 -0.034545266846639680059 -0.5009999998826838441 0.41609098023318713543 0.03454534034335995235 -0.50088820531360545019
0 1 3, NULL, 1 1 3, 0 0 2 [3] 0 2 3 [3], 0 1 0 0 1 2, 2.8944341892054432641 3.2154483384629966025 3.4989936153007050734 4.2034520139681026407 4.2154547821846888311 5.5010009443188057076 0.41609098023318713543 0.03454534034335995235 -0.50088820531360545019 -0.41609103809723857471 -0.034545266846639680059 -0.5009999998826838441
0 2 0, NULL, 1 2 0, 0 1 0 [0] 0 3 0 [0], 0 2 2 0 2 3, -2.3038539308921057725 5.3457730908364782251 1.5007101553920030312 -2.6961462722051701136 3.6542268368999692995 1.501000231200196211 4.0002832992390180422 3.7648006831883322753 5.501000954620116623 2.8813295325392287438 3.1004998388461562086 3.4989936233002856269
0 2 2, NULL, 1 2 2, 0 1 2 [2] 0 3 2 [2], 0 2 0 0 2 3, -2.6961462722051701136 3.6542268368999692995 1.501000231200196211 -2.3038539308921057725 5.3457730908364782251 1.5007101553920030312 -0.92278684815511480278 -0.14949426282878122696 -0.50100012023720852384 0.92278512354837827214 0.14949377641618721845 -0.50067070670578484038
0 2 3, NULL, 1 2 3, 0 1 3 [3] 0 3 3 [3], 0 2 0 0 2 2, 2.8813295325392287438 3.1004998388461562086 3.4989936233002856269 4.0002832992390180422 3.7648006831883322753 5.501000954620116623 0.92278512354837827214 0.14949377641618721845 -0.50067070670578484038 -0.92278684815511480278 -0.14949426282878122696 -0.50100012023720852384
0 3 0, NULL, 1 3 0, 0 2 0 [0] 0 4 0 [0], 0 3 2 0 3 3, -2.2401802616415062986 5.311404033447833406 1.5006479856190964028 -2.7598199619947427764 3.6885960571794758067 1.5010001757162529933 4.2683232900779852769 4.2712359239007557931 5.5010013393690551097 2.8819975022958344013 3.0077056049537564952 3.4989992611983216086
0 3 2, NULL, 1 3 2, 0 2 2 [2] 0 4 3 [2], 0 3 0 0 3 3, -2.7598199619947427764 3.6885960571794758067 1.5010001757162529933 -2.2401802616415062986 5.311404033447833406 1.5006479856190964028 -1.1518532625974746698 -0.24229384889848343266 -0.50099999709284137595 1.1518532269237473641 0.24229383667043749572 -0.50058777997931735993
0 3 3, NULL, 1 3 3, 0 2 3 [3] 0 4 2 [3], 0 3 0 0 3 2, 2.8819975022958344013 3.0077056049537564952 3.4989992611983216086 4.2683232900779852769 4.2712359239007557931 5.5010013393690551097 1.1518532269237473641 0.24229383667043749572 -0.50058777997931735993 -1.1518532625974746698 -0.24229384889848343266 -0.50099999709284137595
0 4 0, NULL, 1 4 0, 0 3 0 [0] 0 5 0 [0], 0 4 2 0 4 3, 3.9393404507963918348 3.2852110203056636983 -5.5010000228648623378 2.8970896219970230234 2.9393390552152895978 -3.4989989679931077227 -2.1746561959568144751 5.3095036302054365862 1.500580937611829313 -2.8253437059719290759 3.6904967319230208566 1.5010002439100618154
